Quality Attribute,Resource utilization,Co-existence,Installability,Availability,Authenticity,Appropriateness recognizability,User interface aesthetics,Time behaviour,Functional completeness,Modifiability,Learnability,Recoverability,Operability,Modularity,Maturity,Functional correctness,Confidentiality,Functional appropriateness,Adaptability,Capacity,Reusability,Fault tolerance,Integrity,Accessibility,User error protection,Testability,Analysability,Interoperability,Accountability,Non-repudiation,Replaceability
azure-virtual-machine-scale-sets,"0|1|0
0.5","0|2|1
0.62",,"1|1|2
0.59",,,"0|0|1
0.86","0|3|2
0.64",,"0|0|1
0.86","0|1|1
0.68","0|1|1
0.68","0|0|4
0.86",,"0|0|1
0.86",,,,,"0|1|0
0.5",,"0|0|1
0.86",,,,,,,,,
azure-virtual-network,,"1|0|1
0.5","0|0|1
0.86","0|0|1
0.86",,,,"0|0|2
0.86",,,"0|1|0
0.5","1|0|0
0.14","0|0|4
0.86",,"0|0|1
0.86",,,,,"0|0|1
0.86",,,,,,,,,,,
azure-web-app-for-containers,,"0|2|0
0.5","0|1|1
0.68","1|2|0
0.38",,,,"1|0|1
0.5",,"0|2|1
0.62","0|1|0
0.5","0|0|1
0.86","0|0|1
0.86",,"0|3|2
0.64",,,,,,,"0|0|2
0.86",,,,,,,,,
azure-web-apps,"0|2|0
0.5","0|12|19
0.72","0|2|8
0.79","2|0|3
0.57","1|2|1
0.5","1|0|0
0.14","1|2|5
0.68","4|6|10
0.61",,"1|2|3
0.62","1|0|1
0.5","0|1|2
0.74","1|2|11
0.76",,"0|1|7
0.81",,"0|0|1
0.86",,,"0|6|7
0.69",,"0|1|3
0.77",,,,,,,"0|1|0
0.5",,
beautifulsoup,"1|11|0
0.47","0|1|2
0.74","2|10|1
0.47","0|5|0
0.5","0|1|0
0.5","1|7|1
0.5","2|1|0
0.26","3|5|4
0.53","1|0|0
0.14","0|2|0
0.5","1|4|2
0.55",,"1|0|0
0.14",,"0|4|3
0.65","1|25|2
0.51","2|2|0
0.32","1|20|2
0.52",,"1|1|1
0.5","0|1|0
0.5","1|4|3
0.59","0|1|0
0.5","0|1|0
0.5","2|2|0
0.32",,"0|1|0
0.5",,,,
beautifulsoup4,,,,"0|1|0
0.5",,"0|1|1
0.68",,"0|1|0
0.5",,,"0|1|4
0.79",,"1|1|1
0.5",,"0|0|2
0.86",,"1|0|0
0.14",,,"0|0|1
0.86",,"0|0|2
0.86",,,,,,,,,
cassandra,"9|17|0
0.38","4|16|4
0.5","2|22|2
0.5","3|19|4
0.51","0|9|1
0.54","1|3|2
0.56","0|4|1
0.57","16|59|12
0.48",,"0|4|2
0.62","0|4|1
0.57","0|25|0
0.5",,"0|1|1
0.68","0|2|2
0.68",,"0|4|0
0.5",,,"7|32|3
0.47",,"3|23|3
0.5","4|3|0
0.29",,,,,"0|1|0
0.5",,"0|1|0
0.5",
cassandra 3,,,,,,,,,,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,
chattermill,,"0|2|2
0.68",,,,"0|1|0
0.5","2|4|9
0.67","1|6|6
0.64",,"0|0|3
0.86","0|2|4
0.74",,"1|4|32
0.8",,"1|1|2
0.59",,,,,,,,,,,,,,,,
cisco-umbrella,"1|1|0
0.32","6|66|57
0.64","3|7|19
0.7","0|8|11
0.71","0|2|0
0.5","0|1|0
0.5","1|2|2
0.57","4|11|9
0.58",,"1|4|4
0.62","2|0|3
0.57","0|7|1
0.55","0|3|16
0.8",,"1|7|14
0.71","1|1|0
0.32","2|25|7
0.55",,,"1|0|0
0.14",,"0|3|3
0.68","0|8|0
0.5","0|0|2
0.86",,,,"0|1|0
0.5","0|0|1
0.86",,
couchbase,"3|1|3
0.5","2|7|16
0.7","0|1|4
0.79","0|5|7
0.71","1|0|0
0.14","2|0|1
0.38","1|2|10
0.75","12|20|25
0.58","0|0|1
0.86","0|6|8
0.71","2|2|5
0.62","1|1|0
0.32","2|2|22
0.78",,"0|3|18
0.81",,"0|2|0
0.5",,,"1|11|13
0.67",,"1|3|7
0.7","0|1|1
0.68","0|0|1
0.86",,,,,,,
database-as-a-service-dbaas,,"0|1|2
0.74","0|0|3
0.86","0|0|5
0.86",,,"2|0|0
0.14","0|2|2
0.68",,,,"0|2|3
0.72","0|0|4
0.86",,"0|1|9
0.82",,"1|0|0
0.14",,,"0|1|1
0.68",,"0|0|1
0.86",,,,,,,"0|1|0
0.5",,
django,"1|44|4
0.52","34|131|49
0.53","22|167|28
0.51","9|13|3
0.41","23|283|29
0.51","16|176|62
0.57","3|25|3
0.5","30|92|31
0.5","1|1|1
0.5","0|23|10
0.61","4|54|19
0.57","0|21|1
0.52","4|6|24
0.71","2|8|5
0.57","4|15|11
0.58","0|15|1
0.52","9|26|0
0.41","0|14|1
0.52","0|4|1
0.57","1|5|7
0.67","0|8|9
0.69","4|11|5
0.52","8|19|1
0.41","0|0|1
0.86","2|7|2
0.5","3|48|1
0.49","0|2|0
0.5",,"0|2|0
0.5","0|1|0
0.5",
django 3,,"0|1|0
0.5","0|1|0
0.5",,,,,,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,
django 4,,,,,,,,,,,,,,,,,,,,,"0|1|0
0.5",,,,,,,,,,
Dropbox,"1|2|0
0.38","5|21|23
0.63","6|10|5
0.48","1|5|8
0.68","0|1|1
0.68","0|3|0
0.5","6|4|13
0.61","11|22|27
0.6","0|1|3
0.77","1|3|0
0.41","1|3|4
0.64","2|14|14
0.64","6|7|62
0.77",,"2|3|29
0.79",,"4|4|5
0.53",,"0|1|1
0.68","2|5|5
0.59",,"0|1|5
0.8","0|2|3
0.72","0|0|3
0.86",,,"1|0|0
0.14","0|2|5
0.76","1|0|0
0.14","1|0|0
0.14",
druva-cloud-platform,"3|5|3
0.5","3|34|38
0.67","13|24|75
0.7","8|41|26
0.59","1|3|0
0.41","0|0|2
0.86","10|15|27
0.62","17|35|53
0.62","0|0|1
0.86","4|22|17
0.61","4|12|33
0.71","119|827|544
0.6","6|18|141
0.79",,"23|150|74
0.57","5|3|0
0.28","8|77|40
0.59",,,"6|39|56
0.68",,"0|9|14
0.72","7|86|45
0.6","0|0|1
0.86","0|0|1
0.86",,"2|0|1
0.38","0|1|0
0.5","1|1|6
0.72","1|0|1
0.5",
explosion-ai-spacy,,"0|1|3
0.77",,,,"0|1|3
0.77","1|0|0
0.14","0|2|4
0.74",,"1|0|1
0.5","0|0|1
0.86",,"1|0|6
0.76",,,,,,,,,,,,,,,,,,
f5-nginx,"0|2|2
0.68","1|2|3
0.62","2|0|7
0.7","1|5|3
0.58","0|2|0
0.5","0|1|0
0.5","0|6|1
0.55","1|8|12
0.69","0|0|1
0.86","0|1|1
0.68","0|0|1
0.86","0|1|0
0.5","0|0|3
0.86",,"0|1|8
0.82",,"0|6|1
0.55",,"0|4|1
0.57","0|2|4
0.74",,"0|1|1
0.68",,,,,,,,,
flask,,"0|3|1
0.59","0|1|1
0.68",,"2|1|0
0.26","0|0|1
0.86","0|1|0
0.5","0|1|2
0.74",,"3|0|1
0.32","0|1|2
0.74",,"0|0|6
0.86",,"1|0|1
0.5",,"1|0|0
0.14",,,"1|2|1
0.5",,"1|0|1
0.5",,,,,,,,,
gensim,,"0|2|0
0.5",,"0|0|1
0.86",,,,"0|0|1
0.86",,,"0|0|1
0.86",,"0|0|3
0.86",,,,,,,,,,,,,,,,,,
google drive,"0|1|1
0.68","14|41|67
0.66","0|12|2
0.55","3|11|19
0.67","1|13|0
0.47","1|9|3
0.56","11|20|21
0.57","12|39|61
0.66",,"1|5|9
0.69","0|4|9
0.75","3|38|17
0.59","6|3|115
0.82",,"4|6|31
0.74","2|2|0
0.32","3|29|8
0.55","0|2|0
0.5","2|0|6
0.68","1|9|24
0.74",,"2|3|7
0.65","2|11|5
0.56","1|2|18
0.79","0|1|0
0.5",,,"2|7|1
0.46","0|0|2
0.86",,
google-cloud,,,,"0|0|1
0.86",,,,"0|0|1
0.86",,,,,"0|0|2
0.86",,,,,,,"0|1|1
0.68",,,,,,,,,,,
google-cloud-bigquery,"1|3|0
0.41","7|42|90
0.71","1|0|1
0.5","0|6|1
0.55",,"0|0|3
0.86","25|19|29
0.52","19|55|113
0.68","1|0|0
0.14","1|9|12
0.68","3|8|12
0.64","0|4|2
0.62","6|10|77
0.77","0|2|0
0.5","0|3|20
0.81",,"2|1|5
0.64",,"0|1|2
0.74","10|66|99
0.68",,"0|2|4
0.74","1|4|5
0.64","0|0|2
0.86",,,"1|3|2
0.56","0|0|2
0.86","0|2|0
0.5","0|1|0
0.5",
hadoop,"1|11|0
0.47","8|29|8
0.5","5|45|3
0.49","2|9|4
0.55","2|3|1
0.44","1|3|2
0.56","0|3|1
0.59","11|43|15
0.52","0|0|1
0.86","2|5|2
0.5","0|5|0
0.5","1|6|3
0.57","0|0|4
0.86","0|2|1
0.62","0|4|8
0.74","0|2|0
0.5","1|8|0
0.46","0|1|0
0.5","0|1|0
0.5","3|46|27
0.61",,"2|10|6
0.58","1|3|0
0.41",,,,,"0|1|0
0.5",,,
hadoop 3,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hadoop 9,,,,,,,,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,
hadoop-hdfs,"1|3|1
0.5","0|5|3
0.64","0|0|1
0.86","0|6|4
0.64",,,"0|0|2
0.86","13|12|12
0.49","0|0|2
0.86","0|0|1
0.86","3|4|4
0.53","0|1|1
0.68","0|0|10
0.86",,"1|3|6
0.68",,"1|5|1
0.5",,"0|0|1
0.86","7|24|33
0.65",,"3|12|9
0.59","2|5|0
0.4","0|1|0
0.5",,,,,,,
hbase,"1|1|0
0.32","2|11|11
0.63","1|1|0
0.32","1|4|3
0.59","1|3|0
0.41","0|1|0
0.5",,"5|21|21
0.62",,"0|1|1
0.68","0|0|2
0.86",,"1|1|9
0.76",,"1|2|2
0.57",,,,"0|0|1
0.86","1|14|25
0.72",,"1|3|6
0.68","0|0|2
0.86",,,,,"0|0|1
0.86",,,
hive,"3|22|0
0.46","18|79|15
0.49","7|88|5
0.49","7|30|1
0.44","7|16|0
0.39","2|19|6
0.55","1|19|1
0.5","28|115|28
0.5","0|2|1
0.62","1|14|6
0.59","0|7|3
0.61","10|141|5
0.49","0|2|7
0.78","0|5|1
0.56","5|11|8
0.55","0|24|1
0.51","6|26|1
0.45","0|20|1
0.52","0|3|1
0.59","5|39|8
0.52","0|2|0
0.5","4|18|6
0.53","4|16|0
0.43","0|2|1
0.62","2|3|0
0.36",,"0|7|1
0.55","0|2|0
0.5","0|3|0
0.5","0|1|0
0.5",
hive 2,,"1|0|0
0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hive-2018-04-16,"2|1|1
0.41","10|26|42
0.65","1|1|3
0.64","11|2|4
0.35",,"0|5|5
0.68","8|8|20
0.62","9|22|37
0.65","0|7|3
0.61","1|12|23
0.72","4|6|17
0.67","2|1|1
0.41","7|6|118
0.81",,"0|7|13
0.73",,,,"0|0|4
0.86","2|9|15
0.68",,"0|3|8
0.76",,"0|0|1
0.86","1|0|0
0.14",,,,"1|3|2
0.56",,
ibm-db2,"1|6|3
0.57","12|39|63
0.66","4|8|21
0.69","3|20|42
0.72","0|2|0
0.5","0|0|2
0.86","7|19|21
0.61","14|57|133
0.71","0|0|5
0.86","8|18|22
0.6","2|12|19
0.69","2|13|10
0.62","13|14|97
0.74",,"4|35|140
0.77","1|0|0
0.14","0|3|7
0.75",,"0|6|3
0.62","6|35|36
0.64",,"2|22|46
0.73","0|7|8
0.69","0|3|3
0.68","0|0|1
0.86",,"0|1|2
0.74","0|3|0
0.5","0|2|0
0.5",,
jupyter notebook,"2|19|1
0.48","2|2|4
0.59","9|53|1
0.45","3|2|0
0.28","0|4|0
0.5","1|13|3
0.54","1|8|0
0.46","2|11|4
0.54","0|1|0
0.5","0|0|2
0.86","0|3|0
0.5","0|1|0
0.5","1|0|0
0.14",,"0|1|1
0.68","1|2|0
0.38","0|2|0
0.5","1|2|0
0.38",,"2|2|0
0.32",,"0|1|1
0.68",,,,,"0|1|0
0.5",,,,
kafka,"8|32|1
0.44","19|133|19
0.5","7|80|8
0.5","8|41|11
0.52","3|22|1
0.47","0|13|2
0.55","1|13|2
0.52","28|183|40
0.52","0|2|0
0.5","0|15|5
0.59","1|16|0
0.48","3|20|4
0.51","1|3|1
0.5","1|13|3
0.54","2|21|11
0.6","1|4|0
0.43","3|21|0
0.46","0|4|0
0.5","0|1|0
0.5","10|73|24
0.55",,"9|87|19
0.53","5|9|1
0.4",,"2|10|1
0.47","0|1|0
0.5","0|2|0
0.5","0|4|1
0.57","0|1|0
0.5","0|1|0
0.5",
keras,"10|53|7
0.48","24|42|10
0.43","9|19|6
0.47","1|2|1
0.5",,"3|44|10
0.54","0|2|1
0.62","8|39|18
0.56",,"2|8|6
0.59","0|5|11
0.75","0|3|1
0.59","1|4|35
0.81","0|3|2
0.64","1|5|1
0.5","3|6|1
0.43","1|2|0
0.38","2|4|0
0.38","0|2|0
0.5","2|6|1
0.46","0|0|1
0.86","0|2|1
0.62",,,,,,,,,
keras 3,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
managed-disks,,,,,,,,"0|0|2
0.86",,,,"0|2|0
0.5","0|1|3
0.77",,"0|0|2
0.86",,"0|0|2
0.86",,,,,,"0|0|1
0.86",,,,,,,,
mariadb,,"6|16|39
0.69","0|3|19
0.81","2|6|17
0.72",,"2|1|0
0.26","3|5|1
0.42","3|11|49
0.76","0|0|1
0.86","1|4|6
0.66","1|2|5
0.68","2|5|4
0.57","2|2|20
0.77",,"0|3|36
0.83",,"0|1|0
0.5",,,"2|4|6
0.62",,"2|8|10
0.64","1|1|1
0.5","0|0|2
0.86",,,,"0|0|1
0.86",,,
matlab,"5|24|3
0.48","13|42|14
0.51","2|20|2
0.5","15|9|1
0.3",,"1|16|4
0.55","3|18|12
0.6","16|46|22
0.53","0|2|2
0.68","0|4|3
0.65","2|5|20
0.74","0|3|0
0.5","4|4|36
0.76","0|1|2
0.74","3|2|7
0.62","3|6|0
0.38","2|3|0
0.36","1|5|0
0.44","1|1|1
0.5","2|6|3
0.53",,"2|1|3
0.56",,"1|3|1
0.5","0|2|0
0.5",,"0|2|0
0.5",,,,
matplotlib,"2|66|0
0.49","9|29|6
0.48","7|41|5
0.49","8|1|0
0.18",,"2|37|8
0.55","4|27|1
0.47","7|17|8
0.51",,"1|8|3
0.56","1|14|1
0.5","0|1|0
0.5","0|1|3
0.77","0|1|0
0.5","0|5|0
0.5","1|17|1
0.5","1|5|1
0.5","1|15|1
0.5","0|6|1
0.55","4|3|1
0.36",,"0|3|0
0.5",,"0|1|0
0.5","1|0|0
0.14",,,,,,
matplotlib 3,,"2|0|1
0.38",,,,,,,,,,,,,,"0|1|0
0.5",,,,,,,,,,,,,,,
matplotlib 3.2,,,,,,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,
microsoft365,"4|6|1
0.4","101|283|642
0.69","27|18|41
0.56","159|57|50
0.35","4|9|10
0.59","11|34|39
0.62","25|25|101
0.68","78|112|272
0.65","6|22|63
0.73","16|39|74
0.66","24|35|73
0.63","15|37|34
0.58","81|73|1217
0.8","1|0|0
0.14","18|38|219
0.76","0|0|1
0.86","11|21|22
0.57","0|0|1
0.86","5|17|49
0.72","12|25|44
0.64",,"3|6|43
0.78","6|11|15
0.6","3|13|36
0.73","2|1|0
0.26",,,"0|2|4
0.74","0|2|1
0.62","0|1|0
0.5","0|1|0
0.5"
microsoft-excel,"6|4|3
0.42","36|64|136
0.65","1|3|10
0.73","74|21|6
0.26","0|1|0
0.5","14|55|43
0.59","13|12|47
0.67","71|105|139
0.58","0|9|29
0.77","4|15|44
0.73","40|43|51
0.53","5|10|5
0.5","51|44|435
0.76",,"10|17|66
0.72","2|5|2
0.5","3|1|4
0.55","1|4|2
0.55","1|4|2
0.55","59|74|111
0.58","0|0|1
0.86","4|7|20
0.69","5|8|13
0.61","1|2|8
0.73","3|3|1
0.4","0|1|0
0.5","0|0|1
0.86","1|2|1
0.5","0|7|1
0.55",,
